Term English ,Notes English,Term German ,Variations German,Notes German,Category,Term English,Term German,glossary_sheet_id
Agent,"An agent, or AI agent, is a software program that can interact with its environment and carry out tasks autonomously on the basis of data. Agent refers to all agents inside and outside of monday, explaining what they do and how they interact with human coworkers
Example: 
Manage all agents in the account",Agent,KI-Agent,"Ein Agent oder KI-Agent ist ein Softwareprogramm, das mit seiner Umgebung interagieren und auf Basis von Daten selbstständig Aufgaben ausführen kann. Die Begriffe „Agenten“ und „KI-Agenten“ können synonym verwendet werden, da sie dasselbe bezeichnen: Agenten sind KI-Agenten. Im Zusammenhang mit „dein Team und die Agenten“ ist es oft besser, von „KI-Agenten“ zu sprechen, um zu betonen, dass Menschen und maschinelle Bots zusammenarbeiten.
Bsp.: 
Where people and agents work side by side. (EN)
Wo Menschen und KI-Agenten Seite an Seite zusammenarbeiten. (DE)",Product & Features
Agents,"Agents, or AI agents, are a software program that can interact with its environment and carry out tasks autonomously on the basis of data. Agents refers to all agents inside and outside of monday, explaining what they do and how they interact with human coworkers
Example: 
Manage all agents in the account",Agenten,KI-Agenten,"Agenten oder KI-Agenten sind ein Softwareprogramm, das mit seiner Umgebung interagiert und auf Basis von Daten selbstständig Aufgaben ausführen kann. Die Begriffe „Agenten“ und „KI-Agenten“ können synonym verwendet werden, da sie dasselbe bezeichnen: Agenten sind KI-Agenten. Im Zusammenhang mit „dein Team und die Agenten“ ist es oft besser, von „KI-Agenten“ zu sprechen, um zu betonen, dass Menschen und maschinelle Bots zusammenarbeiten.
Bsp.:
Where people and agents work side by side. (EN)
Wo Menschen und KI-Agenten Seite an Seite zusammenarbeiten. (DE)",Product & Features
AI Agent,"Context: when the copy specifically highlights the AI character of the agents (though it is the exact same thing than agents )
Example: 
Meet your new teammates - AI agents that do the work for you.",KI-Agent,,"Ein KI-Agent ist ein Softwareprogramm, das mit seiner Umgebung interagieren und auf Basis von Daten selbstständig Aufgaben ausführen kann. Die Begriffe „KI-Agenten“ und „Agenten“ können synonym verwendet werden, da sie dasselbe bezeichnen: Agenten sind KI-Agenten.
Bsp.:
Agents created by users via the monday agent builder (EN)
Agenten, die von Benutzern mit dem monday agent Builder erstellt wurden (DE)
KI-Agenten, die von Benutzern mit dem monday agent Builder erstellt wurden (DE)",Product & Features
AI Agents,"Context: when the copy specifically highlights the AI character of the agents (though it is the exact same thing than agents )
Example: 
Meet your new teammates - AI agents that do the work for you.",KI-Agenten,,"KI-Agent sind ein Softwareprogramme, die mit ihrer Umgebung interagieren und auf Basis von Daten selbstständig Aufgaben ausführen können. Die Begriffe „KI-Agenten“ und „Agenten“ können synonym verwendet werden, da sie dasselbe bezeichnen: Agenten sind KI-Agenten.",Product & Features
monday agents,product term for the monday native agents inside the monday platform,monday agents,,"monday agents wird überall dort verwendet, wo wir ganz spezifisch über die monday native Agenten sprechen, also Agenten, die in monday.com voreingestellt sind oder durch den Benutzer auf der Plattform erstellt werden können. Auch wenn im Englischen Original ""agent"" oder ""AI Agent"" verwendet wird, aber deutlich wird, dass nur die monday nativen Agenten gemeint sind, kann man ""monday agents"" verwenden.
Bsp.:
Add to monday AI Agent (EN)
Zum monday agent hinzufügen (DE)",Product & Features
AI ,,KI,,„AI“ immer mit „KI“ übersetzen
monday AI,,monday KI,,"monday KI ist das KI-Angebot von monday.com: Dienste, die Funktionen, Anwendungen, Bots, Agenten und andere Features auf Basis von künstlicher Intelligenz und Machine-Learning-Datenmodellen enthalten. monday KI ist nativ in die Plattform integriert und ermöglicht Automatisierung, Erkenntnisgewinnung und Aufgabenerledigung, damit Teams bei der Arbeit schneller vorankommen. ",Product & Features
AI Notetaker ,,KI-Notetaker ,,"Der KI-Notetaker von monday.com ist ein integrierter Besprechungsassistent, der Anrufe über ⁠Zoom, ⁠MS Teams und Google Meet transkribiert. Er erstellt Transkripte, markiert wichtige Punkte und erstellt die daraus resultierenden Aufgaben direkt im Board.",Product & Features
monday vibe,,monday vibe,,"monday vibe ist der KI-gestützte App-Builder von monday.com. Der Benutzer beschreibt einfach, was ihm fehlt oder was er erstellen möchte, und Vibe hilft dabei, diese Idee in eine individuelle App zu verwandeln, ganz ohne Code.",Product & Features
Vibe,,Vibe,,"Vibe ist die Kurzform von „monday vibe“. monday vibe ist der KI-gestützte App-Builder von monday.com. Der Benutzer beschreibt einfach, was ihm fehlt oder was er erstellen möchte, und Vibe hilft dabei, diese Idee in eine individuelle App zu verwandeln, ganz ohne Code.",Product & Features
monday sidekick,,monday sidekick,,"monday sidekick ist ein integrierter KI-Agent, der dabei hilft, auf monday.com schneller und effizienter zu arbeiten. Er kann Updates zusammenfassen, Formeln erstellen, Automatisierungen vorschlagen und sogar Elemente oder Vorlagen einrichten. ",Product & Features
AI Sidekick,,KI-Sidekick,,"Der KI-Assistent von monday, mit dem der Benutzer viele Aktionen automatisch ausführen lassen kann.",Product & Features
Sidekick,,Sidekick,,"Kurzform von „monday sidekick"". Der KI-Assistent von monday, mit dem der Benutzer viele Aktionen automatisch ausführen lassen kann.",Product & Features
AI credits,,KI-Credits,,"KI-Credits sind eine virtuelle Währungseinheit, die bei der Nutzung von KI-gestützten Funktionen verbraucht wird (wie Automatisierungen, Workflows und KI-Agenten)",Product & Features
AI Workflows,,KI-Workflows,,"KI-Workflows sind KI-native Funktionalitäten, die direkt in die monday.com-Plattform integriert sind. Nutzer können diese Workflows über Befehle in natürlicher Sprache erstellen oder vorgefertigte Vorlagen verwenden.",Product & Features
monday workflows,,monday workflows,,"Mit monday workflows können Enterprise-Nutzer komplexe, mehrstufige Prozesse über verschiedene Bereiche, Teams und Konten hinweg erstellen.",Product & Features
monday campaigns,,monday campaigns,,"monday campaigns ist eine KI-basierte E-Mail-Marketing-Plattform, mit der Teams durch Einsatz von KI ihre Ideen in Minuten in fertige E-Mail-Kampagnen umsetzen können.",Product & Features
monday magic,,monday magic,,"monday magic ist der KI-gestützte Workspace-Builder von monday.com. Der Benutzer kann in einfacher Sprache beschreiben, welchen Arbeitsbereich er erstellen möchte, z. B. ein Sales-CRM mit Konten, Kontakten und einem Dashboard, und Magic erstellt automatisch einen voll eingerichteten Arbeitsbereich.
",Product & Features
AI Work Platform,"monday.com product tagline appearing in marketing copy and images. Unlike ""monday CRM"" or ""monday work management"" which stay fully in English, this phrase SHOULD be translated: ""AI"" becomes ""KI"", ""work platform"" becomes ""Arbeitsplattform"". Keep ""monday"" in English only. Full result: ""monday KI-Arbeitsplattform"". This is different from product names — it's a descriptive tagline, not a branded product name.",KI-Arbeitsplattform,,"Der Produkt-Slogan von monday.com, der in Marketingtexten und auf Bildern erscheint. Im Gegensatz zu „monday CRM“ oder „monday work management“, die als Produktnamen auf Englisch bleiben, muss dieser Ausdruck übersetzt werden: „monday KI-Arbeitsplattform“."
monday agent builder ,,monday agent Builder ,,,Product & Features
Agent Builder,,Agent Builder,,,Product & Features
AI App builder,,KI-App-Builder,,,Product & Features
AI first,,„AI first“
"""""",,„”
24/7 support,,24/7-Support,Support rund um die Uhr
2nd,,zweite
3rd,,dritte
action item,,Aufgabe,,"Im Kontext geht es darum, aus Gesprächen oder Ideen die daraus resultierenden Aufgaben zusammenzufassen und im Board einzutragen. Bsp.: KI-Agenten können E-Mails automatisch in Aufgaben in deinem monday.com Board verwandeln."
account manager,,Account Manager
activity log,Activity log is a detailed record of all the activities that were carried out in your organization during a particular period of time,Aktivitätsprotokoll
access,,Zugriff
account,,Konto
adaptive platform,,anpassungsfähige Plattform
actionable,able to be done or acted on; having practical value.,praktisch umsetzbar
admin console,,Admin-Konsole
