Term English ,Notes English,Term Portuguese,Notes Portuguese,Variations Portuguese,Category
"""""",,""""""
action item,,elemento de ação
active deal,active deal,oportunidade ativa
account manager,,gerente de contas
2nd,2nd,2º
activity log,Activity log is a detailed record of all the activities that were carried out in your organization during a particular period of time,registro de atividades
access,,acesso
active Sprint,Sprint = a set period of time during which specific work has to be completed and made ready for review. Each sprint begins with a planning meeting.,sprint ativo
3rd,,3º
24/7 support,,suporte 24 horas
account,,conta
adaptive platform,,plataforma personalizável / plataforma flexível
actionable,able to be done or acted on; having practical value.,acionável
admin console,"a section in the platform for admins - wehre they can oversee the entire account, boards, users, security and billing",console administrativo
API,"API is the acronym for Application Programming Interface, which is a software intermediary that allows two applications to talk to each other.",API
apps marketplace,,marketplace de aplicativos
archive (v.),,arquivar
automation,,automação
agile,"relating to a method of project management, used especially for software development, that is characterized by the division of tasks into short phases of work and frequent reassessment and adaptation of plans.",ágil
board,,quadro
board menu,,menu do quadro
Basic Plan,One of our subscription plans - The Basic Plan offers you all the very basic features of the platform.,plano Básico
board views,,visualizações de quadro
batch actions,"the process by which a computer completes batches of jobs, often simultaneously, in non-stop, sequential order",ações em lote
annotation,,anotação
backlog,"an accumulation of work, especially uncompleted work or matters that need to be dealt with.",backlog / trabalho acumulado / trabalho a ser finalizado
Admin,,Admin
bell icon,,ícone campainha
balance,,saldo
all-in-one,,tudo em um(a) único(a)
apps,,apps
brief,A brief is a document used to outline the strategy of a project.,briefing
business,Context: Create apps for helping your business grow.,negócio
building blocks,,componentes
channel partnerships,"A channel partner is a company that partners with a producer to market and sell the producer's products, services, or technologies.",parcerias de canal
blocks,"as in ""building blocks""",blocos
benchmark line,,ponto de referência
channel partner,"A channel partner is a company that partners with a producer to market and sell the producer's products, services, or technologies.",parceiro de canal
board views,"Board Views will allow you to see your data in one aspect, for example ""Chart view"" ""Map view""",visualizações de quadro
Adjust,,ajustar
calendar view,,visualização de calendário
blog planning,,planejamento de blog
Add,,adicionar
chart View,,visualização de gráfico
bug,"Software bug. A bug can be an error, mistake, defect or fault, which may cause failure or deviation from expected results.",bugs
admin panel,"a section in the platform for admins - wehre they can oversee the entire account, boards, users, security and billing",painel administrativo
automations,Automations allow you to use an event (like the changing of a status) to trigger an action (like sending a notification).,automações
calendar,,calendário
build-in,,integrado
built on monday.com,"for example - monday marketer, built on monday.com",desenvolvido na monday.com
column,,coluna
campaign planning,,planejamento de campanha
agent,,agente
agile workflows,"The agile workflow is defined as a set of stages involved in product development. It is a project management methodology where a project is divided into smaller individual cycles called sprints. At each sprint, customers and stakeholders provide their feedback, which is incorporated at the end of each sprint.",fluxos de trabalho ágeis
board owners,,proprietários do quadro/ responsáveis pelo quadro
baseline,,linha de base
bandwidth,,capacidade
bookmark,,favorito,"Noun — a saved bookmark. For the action, use marcar como favorito(a)."
center,"usually used in context: Template Center, Column Center etc.",central
company,,empresa
color picker,,seleção de cores
checkbox column,,coluna de caixa de verificação
collaboration,,colaboração
button,,botão
board type,,tipos de quadro
billable hours,,horas faturáveis
boards,,quadros
cheese,"similar to a “bug”, but unlike a bug - a cheese is a small fix needed, or an improvement needed for a feature.",melhoria
chart,,gráfico
creative requests,"""creative"" as in ""creative team""",pedidos de criação / briefs de criação
CRM platform,Costumer Relationship Management platform,plataforma de CRM
customer support,,suporte ao cliente
checklist,,lista de verificação
collapse,,recolher
DAM,"Short for ""digital assets management""",gestão de ativos digitais / DAM
check your eligibility,,verifique sua elegibilidade
dependencies,The Dependency Column creates vital connections between items that will help to better manage projects.,dependências
construction,,construção
column center,,central de colunas
compliance,,conformidade
data-driven,as in data-driven decision making,baseado em dados / com base em dados
Done,,Feito
contact support,,entre em contato com a equipe de suporte
Doc,"shorter term for ""Workdoc"", can be translated or kept in English",documento
column summary,,resumo da coluna
