id,name,description,content_type,type,priority,weight,severity,fix_type,pattern,fix_pattern,instruction,example_pass,example_fail,owner
layout_safe_zone,Content Within Safe Zone,"All content must stay within safe margins, with no element touching or bleeding past the container/viewport edge",web_design,llm,1,0.9,hard,suggest,,,"Check that every element (text, image, card) maintains adequate clearance from all container and viewport edges. Flag anything that touches, clips, or bleeds past an edge unintentionally.",[hero section with consistent margin on all sides at every viewport],[card content touching the right edge of its container at mobile width],vision
layout_grid_alignment,Grid & Column Alignment,Elements must align to a consistent grid/column system across the page,web_design,llm,1,0.8,hard,suggest,,,"Check that columns, cards, and content blocks align to a shared grid. Flag any element that sits off-grid or misaligned relative to siblings in the same row/section.",[three feature cards aligned to the same top and left edges],[one card in a row shifted slightly left of the others],vision
layout_visual_hierarchy,Visual Hierarchy Flow,Layout must guide the eye in the intended order: headline → supporting content → call to action,web_design,llm,1,0.85,hard,suggest,,,Evaluate the scanning order of each section. Flag any layout where a secondary element (e.g. a CTA or image) visually competes with or precedes the primary headline in reading order.,[section where the eye flows naturally from headline to visual to CTA],[CTA button styled more prominently than the headline above it],vision
layout_no_overlap,No Element Overlap,No two elements should overlap or clip each other unintentionally,web_design,llm,1,0.9,hard,suggest,,,"Check for unintended overlapping of text, images, or containers, including z-index stacking issues. Flag any element that visually collides with another.",[all text and image elements fully separated with clear spacing],[caption text overlapping the bottom of an image it describes],vision
spacing_scale_adherence,Spacing Token/Scale Adherence,"All margin, padding, and gap values must come from the defined spacing scale — no arbitrary off-scale pixel values",web_design,llm,1,0.85,hard,suggest,,,"Inspect margin, padding, and gap values across the page. Flag any value that does not match one of the defined spacing tokens/scale steps (e.g. an arbitrary 13px gap when the scale only defines 8/16/24/32).",[card padding matching the 16px spacing token used elsewhere],[one component using an arbitrary 22px padding not present in the spacing scale],vision
spacing_vertical_rhythm,Section Vertical Rhythm,Vertical spacing between major sections must follow a consistent rhythm down the page,web_design,llm,1,0.8,hard,suggest,,,Measure the vertical gap between each major section and the next. Flag any section-to-section gap that is noticeably tighter or looser than the established rhythm elsewhere on the page.,[all sections separated by the same vertical spacing throughout the page],[the gap before the footer noticeably smaller than the gaps between other sections],vision
spacing_component_padding,Component Internal Padding,"Internal padding within components (cards, buttons, inputs, modals) must match the defined padding tokens for that component type",web_design,llm,1,0.8,hard,suggest,,,Check the internal padding of each component instance against the padding defined for that component type. Flag any instance with noticeably more or less internal padding than other instances of the same component.,[every card in a grid using identical internal padding],[one card in a grid rendered with tighter internal padding than its siblings],vision
spacing_group_gaps,Consistent Gaps Within Groups,"Gaps between repeated items in the same group (list items, grid items, icon+label pairs) must be uniform",web_design,llm,1,0.8,hard,suggest,,,"Measure the gap between consecutive items within the same list, grid, or repeated group. Flag any gap that differs from the others in that same group.",[all icons in a feature list spaced evenly from their labels],[one icon in a feature list sitting closer to its label than the others],vision
spacing_symmetry,Symmetric Padding/Margin,"Padding and margin around content must be symmetric (equal left/right, equal top/bottom) unless an asymmetric layout is explicitly intended",web_design,llm,2,0.7,soft,suggest,,,Check the padding/margin on each side of a container. Flag any container with unequal left/right or top/bottom spacing that appears unintentional rather than a deliberate design choice.,[modal content centered with equal padding on left and right],[a card with noticeably more padding on its left side than its right],vision
spacing_no_cramped_elements,No Cramped Elements,"No two elements should sit closer together than the minimum defined spacing, producing a visually cramped result",web_design,llm,1,0.85,hard,suggest,,,"Check the distance between adjacent elements, especially text near icons, buttons near each other, and text near container edges. Flag any pair of elements closer than the minimum spacing rule allows.",[button and helper text below it separated by adequate breathing room],[a checkbox label text nearly touching the checkbox itself],vision
spacing_responsive_scaling,Spacing Scales Across Breakpoints,Spacing values must adapt sensibly across breakpoints — not stay fixed in a way that causes cramping on mobile or excessive gaps on desktop,web_design,llm,2,0.75,soft,suggest,,,"Compare spacing at mobile, tablet, and desktop breakpoints. Flag any spacing value that was clearly tuned for one breakpoint and left unchanged, causing cramping on mobile or oversized gaps on desktop.",[section padding reducing appropriately from desktop to mobile],"[a 120px section padding carried over unchanged to mobile, pushing content off the first screen]",vision
