Term English [en] en,Notes English,Term French ,Notes French Sandrine,Notes French Hugo,Category
"""""",,«  »
action item,,élément d'action
active deal,,contrat en cours
account manager,,gestionnaire de compte
2nd,,2e
activity log,Activity log is a detailed record of all the activities that were carried out in your organization during a particular period of time,Journal d'activité
access,,accès
active Sprint,Sprint = a set period of time during which specific work has to be completed and made ready for review. Each sprint begins with a planning meeting.,sprint en cours
3rd,,3e
24/7 support,,Assistance 7j/7 et 24h/24
account,,compte
adaptive platform,,plateforme personnalisable
actionable,able to be done or acted on; having practical value.,exploitable
admin console,,espace admin
API,"API is the acronym for Application Programming Interface, which is a software intermediary that allows two applications to talk to each other.",API
apps marketplace,,marketplace d'applis
archive (v.),,archiver
automation,,automatisation
agile,"relating to a method of project management, used especially for software development, that is characterized by the division of tasks into short phases of work and frequent reassessment and adaptation of plans.",agile/réactif/compétitif
board,,tableau
board menu,,menu du tableau
Basic Plan,One of our subscription plans - The Basic Plan offers you all the very basic features of the platform.,Forfait basique
board views,"Board Views will allow you to see your data in one aspect, for example ""Chart view"" ""Map view""",vues des tableaux
batch actions,"the process by which a computer completes batches of jobs, often simultaneously, in non-stop, sequential order",actions groupées
batch actions,,actions groupées
annotation,,annotation
backlog,"an accumulation of work, especially uncompleted work or matters that need to be dealt with.",backlog
Admin,,Admin
bell icon,,icône de notifications
balance,,solde
all-in-one,,tout-en-un
apps,,applications
brief,A brief is a document used to outline the strategy of a project.,brief
business,Context: Create apps for helping your business grow.,entreprise
building blocks,,modules de création
channel partnerships,"A channel partner is a company that partners with a producer to market and sell the producer's products, services, or technologies.",partenariats commerciaux
blocks,"as in ""building blocks""",blocs
benchmark line,,ligne de référence
channel partner,"A channel partner is a company that partners with a producer to market and sell the producer's products, services, or technologies.",partenaire commercial
board views,"Board Views will allow you to see your data in one aspect, for example ""Chart view"" ""Map view""",vues de tableau
Adjust,,Ajuster
calendar view,,vue de calendrier
blog planning,,planning du blog
Add,,Ajouter
chart View,,Vue de diagramme
bug,"Software bug. A bug can be an error, mistake, defect or fault, which may cause failure or deviation from expected results.",bug
admin panel,,espace admin
automations,Automations allow you to use an event (like the changing of a status) to trigger an action (like sending a notification).,automatisations
calendar,,calendrier
build-in,,intégré
built on monday.com,"for example - monday marketer, built on monday.com",Développé sur monday.com
column,,colonne
campaign planning,,planning de campagne
agent,,agent
agile workflows,"The agile workflow is defined as a set of stages involved in product development. It is a project management methodology where a project is divided into smaller individual cycles called sprints. At each sprint, customers and stakeholders provide their feedback, which is incorporated at the end of each sprint.",processus de travail agiles
board owners,,Propriétaire de tableau
baseline,,référence
bandwidth,,bande passante
bookmark,,Favoris
center,"usually used in context: Template Center, Column Center etc.",centre
company,,entreprise
color picker,,pipette de couleur
checkbox column,,colonne case à cocher
collaboration,,collaboration
button,,bouton
board type,,type de tableaux
billable hours,,heures facturables
boards,,tableaux
cheese,"similar to a “bug”, but unlike a bug - a cheese is a small fix needed, or an improvement needed for a feature.",bug
chart,,diagramme
creative requests,"""creative"" as in ""creative team""",demandes de création
CRM platform,Costumer Relationship Management platform,plateforme CRM
customer support,,assistance client
checklist,,check-list
collapse,,réduire
DAM,"Short for ""digital assets management""",Gestion des ressources numériques
check your eligibility,,vérifiez votre éligibilité
dependencies,The Dependency Column creates vital connections between items that will help to better manage projects.,dépendances
construction,,construction
column center,,centre de colonnes
compliance,,conformité
data-driven,as in data-driven decision making,basé sur de l'analyse de données
Done,,Fait
contact support,,contacter l'assistance
Doc,"shorter term for ""Workdoc"", can be translated or kept in English",Doc
dev,short for developer,dev
column summary,,colonne résumé
