id,name,description,content_type,type,priority,weight,severity,rule_ref,instruction,example_pass,example_fail,owner
geometry_aspect_ratio_preserved,Element Aspect Ratio Preserved,Every element keeps its master aspect ratio through the resize,figma_resize,llm,1,0.95,hard,R1/R2/R9,For every node matched between master and output compute (w_out/h_out) divided by (w_master/h_master) and flag any node whose result differs from 1.0 by more than 0.01.,[a circular avatar still perfectly circular after a 1080x1350 to 1200x1200 resize],[a person bubble rendered as an oval because width used scaleX and height used scaleY],script
geometry_position_redistributed,Composition Fills The New Canvas,Element positions redistribute across the new canvas shape rather than clustering,figma_resize,llm,2,0.7,soft,R3,Check that content is distributed across the target canvas rather than bunched toward one corner with unexplained empty space on the opposite sides.,[elements spread across the full 1200x1200 canvas after resize from a portrait master],[all content clustered in the upper left with the right third of the canvas empty],script
geometry_text_group_centered,Centred Text Stays Centred,Text blocks that read as centred in the master remain optically centred in the output,figma_resize,llm,2,0.7,soft,R4,Measure the left and right margins of any text block that was centred in the master. Flag any block now off-axis by more than a few pixels.,[headline block with equal left and right margins on the new canvas],[headline drifted several percent left because X was scaled proportionally instead of recentred],vision
mask_image_aligned,Mask Group Images Aligned,Image rects inside mask groups stay aligned to their mask shape,figma_resize,llm,1,0.9,hard,R5/R7,For every mask group compare the absoluteBoundingBox of the mask shape against the image rect. Flag any pair differing by more than 5px on either axis.,[a masked photo filling its clip shape completely with no visible background],[a circular avatar showing a crescent of empty background where the image drifted upward],script
crop_transform_uniform,CROP Fill Transform Is Uniform,Image fills in CROP mode have equal X and Y scale factors in their imageTransform,figma_resize,llm,1,0.95,hard,R8,For every IMAGE fill with scaleMode CROP compare T[0][0] against T[1][1] and flag any pair differing by more than 1 percent.,[a cropped portrait with X and Y transform scale both at 0.700],[a person bubble with X scale 0.993 and Y scale 1.089 squashing the face],script
no_rotation_applied,No Element Rotated,No element gains or loses rotation during the resize,figma_resize,llm,1,0.9,hard,R9,Compare the rotation property of every matched node against the master. Flag any difference.,[every element at the same orientation as the master],[a logo tilted a few degrees after being repositioned],script
visual_not_cropped,Visual Not Cropped To Fit,The primary visual is extended or recomposed rather than sliced to fit the new canvas,figma_resize,llm,1,0.85,hard,R10,Compare the visible extent of the primary visual against the master. Flag any case where content present in the master has been cut off rather than repositioned or rescaled.,[the product screenshot fully visible and anchored to the left edge],[the right third of the product screenshot sliced off to make it fit],vision
logo_count_matches,Logo Count Matches Master,The output contains exactly as many logo nodes as the master,figma_resize,llm,1,0.95,hard,R11,Count logo nodes in master and output. Flag any difference in either direction.,[one monday.com logo in the master and one in the output],[a second logo added to fill empty space in the lower third],script
logo_proportional_only,Logo Scaled Proportionally Only,The logo is only ever scaled proportionally and never redrawn or restyled,figma_resize,llm,1,0.9,hard,R11,Check the logo aspect ratio against the master and confirm no fills strokes or child structure changed.,[logo scaled uniformly to 82 percent of its master size],[logo widened to fill a horizontal gap leaving the wordmark stretched],script
text_content_verbatim,Text Content Unchanged,Every text string matches the master character for character,figma_resize,llm,1,1,hard,R12/R14,Diff the characters property of every TEXT node against the master baseline. Flag any change including whitespace punctuation and capitalisation unless the user explicitly requested new copy.,[the CTA label still reads exactly Get started free],[the headline shortened by hand to make it fit the narrower canvas],script
text_fits_bounds,Text Fits Its Bounding Box,No text overflows or is clipped by its own container or the canvas,figma_resize,llm,1,0.9,hard,R12,Check every TEXT node bounding box against its container and the canvas. Flag any text that overflows is clipped or has descenders cut off.,[headline reduced to 46px and fitting cleanly on two lines],[headline overflowing its container with the final word clipped at the frame edge],script
no_invented_elements,No Invented Elements,No shape icon text or decoration exists in the output that was not in the master,figma_resize,llm,1,0.9,hard,R13,Compare the output node inventory against the master. Flag any element with no master equivalent that was not explicitly requested by the user.,[the empty lower third left empty and surfaced to the user as a creative decision],[a decorative gradient bar invented to fill the dead space below the visual],vision
cta_single_line,CTA Label On One Line,The CTA button label renders as a single horizontal line,figma_resize,llm,1,0.8,hard,R15,Check the CTA label line count. Flag any label that wraps to a second line or has been letter spaced tighter to force a fit.,[CTA label at 28px on one line with comfortable padding],[CTA label wrapped onto two lines inside the capsule],vision
cta_solid_fill,CTA Button Solid Fill,The CTA button uses a solid fill and never an outline or ghost style,figma_resize,llm,1,0.75,hard,R15,Check the CTA button fill. Flag any outlined ghost or semi transparent treatment.,[CTA rendered as a solid white capsule],[CTA rendered as a transparent capsule with a 2px border],vision
icon_count_matches,Icon Count Matches Master,Every icon in the master is present in the output,figma_resize,llm,1,0.9,hard,R16,Count icon nodes in master and output. Flag any icon missing removed or replaced.,[all five integration icons present in the resized frame],[two integration icons dropped when the visual group was scaled down],script
icon_style_unchanged,Icon Style Unchanged,Icons keep their master style weight and relative size,figma_resize,llm,1,0.85,hard,R16,Capture one instance of each repeated icon at element zoom and compare against the master. Flag any restyle substitution or Unicode glyph standing in for a real icon.,[the Slack and Gmail marks rendering as their real vector logos],[a checkmark glyph substituted where the master had a real icon],vision
fill_colors_unchanged,Fill Colours Unchanged,Every fill colour matches the master exactly,figma_resize,llm,1,0.9,hard,R17,Compare fill hex values per matched node against the master. Flag any hue shift or near miss substitution.,[the brand purple at the exact master hex on every element],[the CTA fill shifted one step off the approved brand purple],script
gradient_preserved,Gradients Preserved,Gradients keep their angle colour stops and opacity transitions,figma_resize,llm,1,0.85,hard,R18,Compare gradient transform and colour stops per node against the master. Flag any rotated angle changed stop or altered opacity ramp.,[the background gradient at the same angle and stops as the master],[the background gradient rotated 20 degrees after the aspect ratio changed],script
effects_preserved,Effects Preserved,Drop shadows and effects keep their offset spread radius opacity and colour,figma_resize,llm,1,0.8,hard,R19,Compare the effects array per matched node against the master. Flag any changed or dropped effect.,[card drop shadow identical to the master],[card drop shadow radius scaled up making the card appear to float higher],script
opacity_preserved,Opacity Preserved,Semi transparent layers keep their source opacity,figma_resize,llm,1,0.8,hard,R20,Compare node opacity and fill opacity against the master. Flag any difference.,[the frosted overlay still at 60 percent opacity],[the overlay rendered fully opaque hiding the visual beneath it],script
image_container_preserved,Image Container Treatment Preserved,Images keep their master container treatment,figma_resize,llm,1,0.85,hard,R21,Check whether contained images are still contained and edge to edge images still edge to edge. Flag any change of treatment.,[product screenshots still inside rounded rectangles],[a contained screenshot now bleeding to the frame edge with its radius lost],vision
typography_preserved,Typography Preserved,Font family weight letter spacing and line height match the master per role,figma_resize,llm,1,0.9,hard,R22,Compare fontName letterSpacing and lineHeight per TEXT node against the master. fontSize may be reduced to fit and is excluded. Flag any other difference.,[headline still Poppins Semi Bold with the master letter spacing],[headline weight dropped to Regular when the text node was retouched],script
exact_dimensions,Exact Target Dimensions,The output frame measures exactly the placement width and height,figma_resize,llm,1,1,hard,R23,Measure the output frame and compare against the placement spec. Flag any deviation including single pixel rounding drift.,[frame measuring exactly 1080x1920],[frame measuring 1080x1919 because an auto layout mode silently ignored the resize],script
safe_zone_respected,Safe Zone Respected,No content falls inside the placement reserved zones,figma_resize,llm,1,0.95,hard,R24,Read the safe zone values from placements.json and check every content node absoluteBoundingBox against them. Flag anything intruding.,[all content between y 200 and y 1380 on a Story frame],[the headline placed at y 180 where the platform profile chip will cover it],script
no_offcanvas_elements,No Off Canvas Elements,No descendant at any depth falls outside the canvas,figma_resize,llm,1,0.9,hard,R25,Sweep the whole tree on absoluteBoundingBox and flag any node extending past the frame bounds on any side.,[every descendant within x 0 to 1080],[a board label at x 1042 clipped by the right frame edge],script
spacing_proportional,Spacing Relationships Preserved,Element gaps scale proportionally rather than collapsing or ballooning,figma_resize,llm,2,0.75,soft,R26,Compare the master gap ratios for logo to headline headline to subheadline and text to visual against the output. Flag any gap that changed disproportionately.,[the logo to headline gap scaled in step with the rest of the composition],[the text to visual gap tripled leaving the headline stranded at the top],script
repeated_gaps_uniform,Repeated Item Gaps Uniform,Gaps between repeated items stay uniform with each other,figma_resize,llm,1,0.8,hard,R26,Measure consecutive gaps within each repeated group such as integration rows or feature lists. Flag any gap differing from its siblings.,[all five integration rows evenly spaced],[one integration row sitting noticeably closer to the row above it],script
background_master_colors_only,Background Uses Master Colours Only,Background extension uses only colours already present in the master,figma_resize,llm,1,0.85,hard,R27,Compare the extended background against the master palette. Flag any introduced gradient vignette texture or glow the master does not have.,[the taller canvas filled with the master flat background colour],[a subtle vignette added to the extended area to make it feel designed],vision
frame_named_and_parented,Frame Named And Parented,The output frame uses the placement naming convention and sits in the session container,figma_resize,llm,1,0.7,hard,R28,Check the frame name against the placement spec convention and confirm its parent is the Generated Ad Sizes container.,[frame named 1080x1920 STORY inside Generated Ad Sizes 1],[frame left named Frame 247 at the page root],script
composition_no_dead_space,Dead Space Surfaced Not Hidden,Structural empty space is reported as a creative decision rather than quietly shipped or filled,figma_resize,llm,2,0.65,soft,R13,Measure any empty region larger than 200px between the visual and the safe zone boundary. Flag it in the QA report with the four resolution options rather than resolving it unilaterally.,[the 430px gap below the visual reported to the user with options],[the gap silently filled with a stretched background shape],vision
microcopy_min_size,Microcopy Meets Minimum Size,"Non-headline, non-CTA text renders at 28px or larger at 1x export, on every placement",figma_resize,llm,1,0.85,hard,R32,Check the fontSize of every TEXT node that is not the headline or CTA label. Flag any node below 28px.,[a subheadline at 32px on the LinkedIn placement],[legal fine print reduced to 22px to fit a tight Story layout],script
cta_text_min_size,CTA Text Meets Minimum Size,"The CTA label renders at 36px or larger at 1x export, on every placement",figma_resize,llm,1,0.85,hard,R33,Check the CTA label's fontSize. Flag if below 36px.,[a CTA label at 40px on the Facebook Feed placement],[a CTA label shrunk to 30px to keep a long label on one line],script
h2_min_size,H2 Meets Minimum Size,"When an H2 exists, it renders at 45px or larger",figma_resize,llm,1,0.8,hard,R34,Check the fontSize of any subheadline styled as an H2. Flag if below 45px.,[an H2 subheadline at 48px],[an H2 reduced to 38px to fit two lines under a longer H1],script
message_hierarchy_line_cap,Message Hierarchy Line Caps Respected,"H1 stays within its format's line cap, and H1+H2 combined stays within 2+2 lines when an H2 exists",figma_resize,llm,2,0.7,soft,R34,"Count rendered lines for the H1 and, if present, the H2. Flag any placement exceeding the combined cap. Per-format H1 caps are an open item -- flag rather than invent a number if unclear.",[a two-line H1 with no H2 on the LinkedIn placement],"[a three-line H1 stacked with a two-line H2, six lines of copy total, that visually overwhelms the CTA]",vision
new_text_font_family,Newly Added Text Uses Poppins,Any text node with no equivalent in the master baseline is set in Poppins,figma_resize,llm,2,0.75,hard,R37,Identify TEXT nodes present in the output with no matching path in the master baseline. Flag any such node not set in Poppins.,"[a user-supplied CTA label added for this placement, rendered in Poppins]",[a new CTA label rendered in the default system font because loadFontAsync was never called for it],script
cta_matches_master_rule,CTA Inclusion Follows The Master,"A resize placement includes a CTA iff the master has one, except a placement whose ctaRule is 'never'",figma_resize,llm,1,0.85,hard,R38,"Check the placement's ctaRule in placements.json. If 'follows-master', the output should have a visible CTA iff the master baseline has one (unless the user explicitly overrode it). If 'never', the output must have no visible CTA regardless of the master.",[the Facebook Feed output includes a CTA because the master has one],"[the LinkedIn output has no CTA even though the master has one, and no override was requested]",script
line_count_recompose,Line-Count Change Recomposed Not Collided,"If reducing font size still changes the text block's line count, neighboring elements are repositioned rather than left colliding",figma_resize,llm,2,0.7,soft,R39,"Compare the text block's line count in output vs master. If it grew, check that neighboring elements (visual, CTA) were repositioned to avoid overlap.",[the visual shifted down 40px after the headline grew from two lines to three],[a three-line headline overlapping the top edge of the visual it grew into],vision
contrast_meets_wcag,Text Contrast Meets WCAG Threshold,Every text node's contrast against its nearest solid-fill ancestor meets 4.5:1 (or 3:1 for text at or above the large-text threshold),figma_resize,llm,1,0.9,hard,R40,"Compute the WCAG contrast ratio from the text fill hex and the nearest ancestor's solid fill hex. Use 3:1 for text at or above 24px (or 19px bold), 4.5:1 otherwise. Flag any node below its threshold.",[white CTA label at 5.2:1 against a dark purple button fill],"[a headline recolored to a lighter tone during background extension, dropping to 2.8:1 against the new background]",script
min_clearance_floor,Minimum Element Clearance Respected,"Named element pairs (logo-to-headline, headline-to-subheadline, text-to-visual, any-to-CTA) never fall below the placement's absolute minimum gap",figma_resize,llm,1,0.8,hard,R42,"Read minGaps from the placement spec. Measure the actual gap between each named pair in the output. Flag any gap below its floor, even if the gap scaled proportionally with everything else.",[the logo-to-headline gap at 45px against a 40px floor],[the any-to-CTA gap compressed to 18px against a 30px floor after a layout squeeze],script
crop_composition_purity,Crop Placement Contains Only The Cropped Fragment,"A crop-type placement's output has no visible text, logo, or CTA nodes",figma_resize,llm,1,0.95,hard,R43,"For a placement with operationType crop, count visible TEXT nodes and visible logo/CTA-candidate nodes in the output. Flag if any count is nonzero.",[the Reddit comment-style output contains only the cropped visual fragment],[the Reddit comment-style output still shows the master's headline because it was never hidden],script
crop_focal_point_centered,Crop Focal Point Visible And Centered,"The cropped subject's focal point is fully visible and centered in the new crop, not merely uncut",figma_resize,llm,1,0.85,hard,R45,Compare the crop against the master's original visual. Flag any crop where the subject is technically uncut but pushed toward an edge or corner rather than centered.,[a product shot cropped with the product centered in the new 4:3 frame],[a person's face fully visible but crowded into the bottom-left corner of the crop],vision
crop_genuine_subregion,Crop Is A Genuine Sub-Region,"The crop shows a meaningfully zoomed-in fragment of the source visual, not the whole image shrunk to fit",figma_resize,llm,2,0.7,soft,R46,"Compare the crop's apparent zoom level against the master's original visual. Flag any crop that is effectively the full image scaled down rather than a cropped fragment. A CROP-mode image fill (vs FILL) is a supporting signal, not a standalone verdict.",[a tight crop on one element of a busy hero visual],"[the entire hero visual shrunk to fit the 4:3 frame, illegible at comment-thumbnail size]",vision
