Term English,Notes English,Term Spanish,Notes Spanish,Exact Match English,Case Sensitive Spanish
"""""",,“”
action item,,elemento de acción
active deal,,acuerdo activo
account manager,,ejecutivo de cuentas
activity log,Activity log is a detailed record of all the activities that were carried out in your organization during a particular period of time,registro de actividad
access,,acceso
active Sprint,Sprint = a set period of time during which specific work has to be completed and made ready for review. Each sprint begins with a planning meeting.,sprint activo
24/7 support,,soporte a toda hora
account,,cuenta
adaptive platform,,plataforma adaptable
actionable,able to be done or acted on; having practical value.,práctico
admin console,,consola del administrador
API,"API is the acronym for Application Programming Interface, which is a software intermediary that allows two applications to talk to each other.",API
apps marketplace,,mercado de apps
archive (v.),,archivar
automation,,automatización
agile,"relating to a method of project management, used especially for software development, that is characterized by the division of tasks into short phases of work and frequent reassessment and adaptation of plans.",ágil
board,,tablero
board menu,,menú del tablero
Basic Plan,One of our subscription plans - The Basic Plan offers you all the very basic features of the platform.,Plan básico,,,true
board views,"Board Views will allow you to see your data in one aspect, for example ""Chart view"" ""Map view""",vistas del tablero
batch actions,"the process by which a computer completes batches of jobs, often simultaneously, in non-stop, sequential order",acciones por lote
annotation,,anotación
backlog,"an accumulation of work, especially uncompleted work or matters that need to be dealt with.",lista de pendientes,Por ejemplo: feature or product backlog: lista de funciones o productos pendientes
Admin,,administrador
bell icon,,ícono de la campana
all-in-one,,integral
apps,,apps
brief,A brief is a document used to outline the strategy of a project.,resumen
business,Context: Create apps for helping your business grow.,negocio
building blocks,,bloques de construcción
channel partnerships,"A channel partner is a company that partners with a producer to market and sell the producer's products, services, or technologies.",partnerships de canal
blocks,"as in ""building blocks""",bloques
benchmark line,,punto de referencia
channel partner,"A channel partner is a company that partners with a producer to market and sell the producer's products, services, or technologies.",partner de canal
board views,"Board Views will allow you to see your data in one aspect, for example ""Chart view"" ""Map view""",vistas del tablero
Adjust,,ajustar
calendar view,,vista de calendario
blog planning,,planificación del blog
Add,,agregar
chart View,,vista de gráfico
bug,"Software bug. A bug can be an error, mistake, defect or fault, which may cause failure or deviation from expected results.",bug
admin panel,,panel del administrador
automations,Automations allow you to use an event (like the changing of a status) to trigger an action (like sending a notification).,automatizaciones
calendar,,calendario
build-in,,integrar
built on monday.com,"for example - monday marketer, built on monday.com",desarrollado en monday.com
column,,columna
campaign planning,In plural when talking about several campaigns.,planificación de campañas
campaign planning,In singular when talking about one specific campaign.,planificación de campaña
agent,,agente
agile workflows,"The agile workflow is defined as a set of stages involved in product development. It is a project management methodology where a project is divided into smaller individual cycles called sprints. At each sprint, customers and stakeholders provide their feedback, which is incorporated at the end of each sprint.",flujos de trabajo ágiles
board owners,,propietarios del tablero
baseline,,referencia
bandwidth,,capacidad
bookmark,,marcar como favorito
company,,empresa
color picker,,selector de color
checkbox column,,columna casilla de verificación
collaboration,,colaboración
button,,botón
board type,,tipo de tablero
billable hours,,horas facturables
boards,,tableros
cheese,"similar to a “bug”, but unlike a bug - a cheese is a small fix needed, or an improvement needed for a feature.",mejora
chart,,gráfico
creative requests,"""creative"" as in ""creative team""",solicitudes creativas
CRM platform,Costumer Relationship Management platform,plataforma de CRM
customer support,,Atención al cliente,,,TRUE
checklist,,lista de verificación
collapse,,contraer
DAM,"Short for ""digital assets management""",gestión de activos digitales
check your eligibility,,verifica si cumples con los requisitos
dependencies,The Dependency Column creates vital connections between items that will help to better manage projects.,dependencias
construction,,construcción
column center,,Centro de columnas,,,true
compliance,,cumplimiento
data-driven,as in data-driven decision making,basado en datos
Done,,Listo
contact support,,comunícate con soporte
Doc,"shorter term for ""Workdoc"", can be translated or kept in English",doc
dev,short for developer,dev
column summary,,resumen de columna
copy,"Please pay attention to the context: copy text OR creative copy: ""copy"" in the context of marketing, PM and content writing etc. simply means ""text"" (in the sense of advertising text).",copy/texto copy,"In advertising, marketing, and sales, ""copy"" is written material that's crafted to convince readers to take some type of action."
content planning,,planificación de contenidos
condition,,condición
contact sales,,comunícate con ventas
customer success team,,equipo de éxito del cliente
dashboards,display different widgets to see your data in multiple ways,paneles
contact us,,comunícate con nosotros
cool tip,"Product example: ""Cool tip: press on CTRL+B to search quickly""",consejo útil
CRM,Costumer Relationship Management,CRM
disable,,deshabilitar
existing,,actual
dropdown,,menú desplegable
email marketing,"Email marketing is a form of marketing that can make the customers on your email list aware of new products, discounts, and other services.",marketing por correo electrónico
enterprise-grade security,,seguridad de nivel empresarial
embed,,integrar
enable,,habilitar
embeded,,integrado
for enterprises,,para empresas
form,,formulario
due date,,vencimiento
formula,"used in: ""Formula column""",fórmula
feature,often used as in: new feature request,función
deal,"Sales terminology: a ""deal"" is a qualified lead",acuerdo
forms,,formularios
employee onboarding,,onboarding de empleados
existing tools,"Example: ""Integrate your existing tools with monday.com""",herramientas que ya usas
folder,,carpeta
folders,,carpetas
free tier,Our free subscription plan,plan gratis
feed (n),,feed
expand,,expandir
guests,,invitados
end-to-end,Similar to a-z,integral
email,,e-mail
freelancer,,freelancer
files column,allows you to add a file to the item,columna archivos
facilities requests,Type of board - requests from facilities team,solicitudes de instalaciones
drag and drop,,arrastrar y soltar
in process,,en proceso
inbound sales,,ventas inbound
inbox,,buzón
high level board,,tablero general
gantt,,Gantt,,,true
info box,,casilla de información
interaction,,interacción
Info Boxes,,casillas de información
integration Center,,Centro de integraciones,,,true
heatmap,used to show user behavior on specific webpages or webpage templates.,mapa de calor
in one place,"example: ""All your tasks in one place'",en un solo lugar
insight,,dato
IT team,Information Technology team,equipo de TI
inbox,,buzón
item card,a feature that lets you see the item in a visual costumized way,ficha del elemento
billing,,facturación
at item level,,a nivel elemento
bugs queue,"A bugs queue is an organized way to track any and all flaws that appear within your software. Once you identify bugs, you can manage and prioritize them via a bugs queue.",lista de bugs
content calendar,a calendar used to planning content release,calendario de contenidos
build,when talking about apps,desarrollar
build,"for example, build a board",crear
archive,,archivo
auto number,,numeración automática
best practice,,práctica recomendada
assignee,,titular
icon,,ícono
iteration,,iteración
integration,,integración
help center,,Centro de ayuda,,,true
item,"items are a core object in the platform. Items are the objects that hold the actual data within the board, to better illustrate this, you can think of a board as a table and an item as a single row in that table.",elemento
K,"The letter K, used in English as an abbreviation for ""thousand"" (100K for example)",000
kickoff meeting,The first meeting of a project - This meeting is the time to establish common goals and the purpose of the project.,reunión de lanzamiento
like,"as in ""like"" button",Me gusta
link,,enlace
kickoff,The first meeting of a project - This meeting is the time to establish common goals and the purpose of the project.,lanzamiento
low level board,,tablero específico
map view,One of monday's views - lets the user view the board information on a map,vista de mapa
manage,,gestionar
low-level board,,tablero específico
mapping,,mapeo
monday Apps Framework,,estructura de las apps de monday
meet,,te presentamos
Elevate,,Elevate,,true,true
dedicated,,exclusivo
deadline,,plazo
dashboard,,panel
high-level board,,tablero general
Google Calendar,Should be in English,Google Calendar
dropdown column,,columna menú desplegable
date column,,columna fecha
IT operations,Information Technology,operaciones de TI
learn more,,Más información
lead,"Sales term: the ""lead"" is a potential customer",lead
left panel,,panel izquierdo
let's say,,supongamos
low code no code,a way in which we refer to our product - simply used without any code knowledge,código bajo/sin código
main boards,,tableros principales
launch,noutn,lanzamiento
launch,start or set in motion,lanzar
in progress,,En curso
join us,,acompáñanos
media coverage tracking,,seguimiento de cobertura de medios
listing,Real estate listing,ofertas
monday workdocs,"LEAVE IN EN, lowercase",workdocs de monday
kanban board,"A view that presents items visually (on a board or dashboard), allowing team members to see the state of every piece of work at any time.",tablero Kanban
monday dev,,monday dev,,true
link to Item column,a column that allows you to link an item from another board,columna enlace a elemento
marketing plan,,plan de marketing
monday sales CRM,,monday sales CRM,,true
notifications,,notificaciones
monday,,monday,,true
member,,miembro
nonprofits community,,comunidad de las ONG
my work,a feature that shows the relevant items for you - taken from several boards you are member of,Mi trabajo
monday work management,,monday work management,,true
numbers column,a column that allows you to display numbers,columna números
nonprofit program,,programa para ONG
monday Apps,,apps de monday
monday.com,,monday.com,,true
mirror column,a column type that allows the user to mirror items from one board in a different board,columna reflejo
nonprofit plan,,plan para ONG
manufacturing,,manufactura
members,,miembros
one platform,"example: ""one platform to manage your tasks""",una sola plataforma
opportunity management,Opportunity management—sometimes called pipeline management—is the process of organizing and tracking the deals in your sales pipeline.,gestión de oportunidades
pain point,Pain points include any problems the customer may experience along their journey.,dificultad
monday marketer,,monday marketer,,true
monday projects,,monday projects,,true
over time,,en el tiempo
no credit card needed,,no se necesita tarjeta de crédito
monday CRM,LEAVE IN EN,monday CRM,,true
mobile,,móvil
owner,when talking about a board,propietario
owner,when talking about a task,responsable
get started,often used as CTA in the website and landing pages,Empezar ahora
high level,"talking in general, or an important forum involving important people",general
free trial,Our free subscription plan,prueba gratis
group,,grupo
enterprise plan,Our Enterprise subscriotion plan,Plan enterprise,,,true
fundraising,,recaudación de fondos
high-level,"talking in general, or an important forum involving important people",general
hide column summary,,ocultar resumen de columna
features,,funciones
plan,,plan
permission to access,,permiso para acceder
overview,,vista general
pitch,"Technical term in PM/Creative/Sales: the ""pitch"" or ""pitching"" is the short presentation of a product, an idea or a service that is intended to convince the client.",pitch,presentación breve (the term pitch is also used in Spanish)
partnership group,"As in ""Business partner"". A partnership is a formal arrangement by two or more parties to manage and operate a business and share its profits.",Grupo de partnerships
PMO,project management office - used in project management industry,Oficina de gestión de proyectos (PMO),,,TRUE
paying customer,,cliente
portfolio,,cartera
organization,,organización
onboarding,,onboarding
outbound sales,,ventas outbound
optional,,opcional
people column,type of column - that allows you assign people to a specific item,columna personas
priority,Low/Medium/High,prioridad
privacy policy,,política de privacidad
planning,,planificación
phone column,allows you to add a phone number to the item,columna teléfono
private board,,tablero privado
quota attainment,"The Sales Quota Attainment metric measures the time it takes for a specific sales target to be hit, helping sales teams keep an actionable timeline in mind, and allowing sales managers to forecast future revenue",logro de cuota
project beta,,proyecto beta
ready to use,,listo para usar
link column,The Link Column allows you to add an hyperlink to the item,columna enlace
location column,allows you to add a location to the item,columna ubicación
knowledge base,monday's help center,Base de conocimientos,,,true
HIPAA compliance,,cumplimiento de la HIPAA
in one central place,"example: ""All your tasks in one central place'",en un solo lugar centralizado
long Text column,a column that allows you to display long text,columna texto largo
label,,etiqueta
leads,"Sales term: the ""lead"" is a potential customer",leads
kanban,"A view that presents items visually (on a board or dashboard), allowing team members to see the state of every piece of work at any time.",Kanban
mobile app,,app móvil
main table,"Table = chart, not dining table",tabla principal
marketplace,,mercado
monday.com Work OS,Work OS = Work Operating System,sistema operativo de trabajo monday.com
on demand,for example - watch webinar on demand,a demanda
milestone,an action or event marking a significant change or stage in development.,meta
multi-board guest,"a guest in monday account, who is a guest in a few boards",invitado en varios tableros
items,"items are a core object in the platform. Items are the objects that hold the actual data within the board, to better illustrate this, you can think of a board as a table and an item as a single row in that table.",elementos
note,,nota
private boards,,tableros privados
post-sales,Post-Sales refers to a collection of processes that you need to perform after a customer purchases your service. Give your customers an outstanding experience by planning a smoother post-sales process with our checklist.,posventa
rating column,allows you to rate the item,columna clasificación
Q1,1st Quarter,T1
R&D Team,,equipo de I+D
refund policy,,política de reembolsos
request a demo,,solicitar una demo
pulse,"""Pulse"" is another name for board item.",elemento
project alpha,,proyecto alfa
RSVPs,,confirmación de asistencia
roadmap,strategic plan that defines a goal or desired outcome and includes the major steps or milestones needed to reach it.,hoja de ruta
Q4,4th Quarter,T4
retrospectives,A meeting of software developers team in which the developers reflects on what happened in the iteration and identifies actions for improvement going forward.,retrospectivas
recipes,"reffers to an automation recipe - for example ""When X happens, notify Y""",modelos
sales deck,,presentación de ventas
sales pipeline,The sales pipeline is a tool for converting leads into sales. It provides sales leaders with a visual representation of the different stages of the sales process ,pipeline de ventas
Pipeline (sales pipeline),,Pipeline (pipeline de ventas),"Cuando ""pipeline"" se refiere al ""pipeline de ventas"", usamos ""pipeline"".

El pipeline de ventas es, precisamente, el proceso de actividades y estrategias que necesita un vendedor para acelerar el ciclo de ventas, transformando clientes potenciales (aquellos que acaban de conocer tu marca o servicio) en clientes. (Fuente: https://www.sydle.com/es/blog/que-es-un-pipeline-de-ventas-61292aa4b060f576043b5687)"
remote work,,trabajo remoto
quick search,a feature for performing a quick search within the plarform,búsqueda rápida
recycle bin,,papelera de reciclaje
release,usually refers to feature release,lanzamiento
run,as in Run command,ejecutar
search everything,perform a search within monday,buscar todo
search everything,a feature for performing wide search accross the plarform,buscar todo
progress tracking,,seguimiento del progreso
reporting,,generación de informes
recruiting,HR term,contratación
partner,"As in ""Business partner"". A partnership is a formal arrangement by two or more parties to manage and operate a business and share its profits.",partner
office ops,Office operations,operaciones de oficina
plugin,similar to integration - a software component that adds a specific feature to an existing computer program.,complemento
Q2,2nd Quarter,T2
search bar,,barra de búsqueda
person,,persona
scope,"as in ""scope of work""",alcance
save time,,ahorra tiempo
sales team,,equipo de ventas
seats,"Refers to as ""users"". For example - in the pricing page - 40 seats = 40 users",usuarios
social media calendar,,calendario de redes sociales
shareable boards,,tableros compartibles
Q3,3rd Quarter,T3
search filter board feature,,función de filtrar dentro de un tablero
pro plan,,Plan pro,,,true
sales rep.,short for Sales Representative,rep. de ventas
recipe,"reffers to an automation recipe - for example ""When X happens, notify Y""",modelo
platform,,plataforma
report,,informe
paying account,,cuenta paga
permissions,,permisos
pin,,anclar
revenue,Income,ingreso
shortcut,,atajo
solution,"a set of pre-made boards designed for a specific use case - for example, HR solution, Project Management solution, Construction solution",solución
Single Sign On,SSO,inicio de sesión único (SSO)
takeaway,Lesson learned,conclusión
string,,cadena
sprint management,Sprint planning/management is an event that kicks off the sprint. The purpose of sprint planning is to define what can be delivered in the sprint and how that work will be achieved.,gestión de sprints
ticket,"for example: ""IT ticket"" is a ticket is a report or service request from the IT team",ticket
two-factor authentication,,autenticación de dos factores
tutorial video,a platform walk-through/how-to video,video tutorial
subscribers,,suscriptores
timeline,,cronograma
Startup for Startup,,Startup for Startup,,true
teammates,,compañeros de equipo
