Term English,Notes English ,Term Japanese ,Notes Japanese ,Variations Japanese,Categroy 
"""""",,「」
action item,,アクションアイテム
active deal,,進行中の案件
account manager,,アカウントマネージャー
2nd,,,定義不要
activity log,Activity log is a detailed record of all the activities that were carried out in your organization during a particular period of time,アクティビティログ
access,,アクセス
active Sprint,Sprint = a set period of time during which specific work has to be completed and made ready for review. Each sprint begins with a planning meeting.,進行中のスプリント
3rd,,,定義不要
24/7 support,,年中無休のサポート,文脈による
account,,アカウント
adaptive platform,,アダプティブプラットフォーム,(Please change depending on the context)
actionable,able to be done or acted on; having practical value.,アクションの対象,文脈によるが基本dealは案件、activeは進行中とする
admin console,,管理コンソール
API,"API is the acronym for Application Programming Interface, which is a software intermediary that allows two applications to talk to each other.",API
apps marketplace,,アプリマーケットプレイス
archive (v.),,アーカイブ（する）
automation,,自動化
agile,"relating to a method of project management, used especially for software development, that is characterized by the division of tasks into short phases of work and frequent reassessment and adaptation of plans.",アジャイル
board,,ボード
board menu,,ボードメニュー
Basic Plan,One of our subscription plans - The Basic Plan offers you all the very basic features of the platform.,ベーシックプラン
board views,"Board Views will allow you to see your data in one aspect, for example ""Chart view"" ""Map view""",ボードビュー
batch actions,"the process by which a computer completes batches of jobs, often simultaneously, in non-stop, sequential order",バッチアクション
batch actions,,バッチアクション
annotation,,注釈
backlog,"an accumulation of work, especially uncompleted work or matters that need to be dealt with.",バックログ
Admin,,管理者
bell icon,,ベルアイコン
balance,,残高
all-in-one,,,定義不要
apps,,アプリ
brief,A brief is a document used to outline the strategy of a project.,ブリーフィング
business,Context: Create apps for helping your business grow.,ビジネス/事業
building blocks,,ビルディングブロック
channel partnerships,"A channel partner is a company that partners with a producer to market and sell the producer's products, services, or technologies.",チャネルパートナーシップ
blocks,"as in ""building blocks""",ブロック
benchmark line,,ベンチマークライン
channel partner,"A channel partner is a company that partners with a producer to market and sell the producer's products, services, or technologies.",チャネルパートナー
board views,"Board Views will allow you to see your data in one aspect, for example ""Chart view"" ""Map view""",ボードビュー
Adjust,,調整
calendar view,,カレンダービュー
blog planning,,ブログ計画,planningは可能な限り計画とする。カタカナ表記は専門色が濃く、距離感が生まれるため
